youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,location,reference_code,type_of_violation
TzYoTYruG00,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by first two Russian airstrikes",øµ™‹ø_ø_ ™‰™šøå™š-Salah khojo,ø±™_™ ø«ø¿™‹øÂ ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ø_™‹™‰ø¿™_™ƒ ø¢ø‚ø_ø± ø_™‹ø¿™ƒø_ø± ™ÊøÈ™_øåø© ø£™š™‹ ø_ø_ø±øÈ™_™Ê ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ 22-1-2016øå2,1/22/16 15:47,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1414,Alleged civilian casualties from Russian attacks
0NFJZlZOn9c,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by first two Russian airstrikes",øµ™‹ø_ø_ ™‰™šøå™š-Salah khojo,ø±™_™ ø«ø¿™‹øÂ ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ø_™‹™‰ø¿™_™ƒ ø¢ø‚ø_ø± ø_™‹ø¿™ƒø_ø± ™ÊøÈ™_øåø© ø£™š™‹ ø_ø_ø±øÈ™_™Ê ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ 22-1-2016,1/22/16 15:39,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1415,Alleged civilian casualties from Russian attacks
GnnnNN5lKEI,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by first two Russian airstrikes",øµ™‹ø_ø_ ™‰™šøå™š-Salah khojo,ø±™_™ ø«ø¿™‹øÂ ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ø_™‹™‰ø¿™_™ƒ ø_™‹ø_ø_ø±ø© ø_™‹ø‚ø_™Ê™_ø© ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ 22-1-2016,1/22/16 15:28,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1416,Alleged civilian casualties from Russian attacks
Cfp14pBHgOs,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by  sixth Russian airstrike ",øµ™‹ø_ø_ ™‰™šøå™š-Salah khojo,ø±™_™ ø«ø¿™‹øÂ ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ø_™‹™‰ø¿™_™ƒ ø_™‹ø_ø_ø±ø© ø_™‹ø_ø_ø¿ø_ø© ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ 22-1-2016,1/22/16 15:27,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1417,Alleged civilian casualties from Russian attacks
0Qz9s6xeMeY,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by the third Russian aistrike",øµ™‹ø_ø_ ™‰™šøå™š-Salah khojo,ø±™_™ ø«ø¿™‹øÂ ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ø_™‹™‰ø¿™_™ƒ ø_™‹ø_ø_ø±ø© ø_™‹ø‚ø_™‹ø‚ø© ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ 22-1-2016,1/22/16 15:24,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1418,Alleged civilian casualties from Russian attacks
aPHoB_OX0aM,"Destruction at Bab al-Hawa crossing, Idlib countryside, caused by the first Russian airstrike",øµ™‹ø_ø_ ™‰™šøå™š-Salah khojo,ø±™_™ ø«ø¿™‹øÂ ™ƒø_øÂø± øÂø_øÂ ø_™‹™ˆ™š™Š ø_™‹™‰ø¿™_™ƒ ø_™‹ø_ø_ø±ø© ø_™‹ø£™š™‹™Š ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ 22-1-2016,1/22/16 15:19,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1419,Alleged civilian casualties from Russian attacks
1_vRLDrhvTE,Successive Russian airstrikes and rockets over Bab al-Hawa square in Sarmada ,ø_™‹ø¿™ø_ø_ ø_™‹™ƒø¿™Ê™_ ø_ø¿™‹øÂ-Idlib civil defense,ø_ø_ø±ø_øÈ ™ƒøÈøÈø_™‹™_ø© ™ƒ™Ê ø_™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ ™šøµ™šø_ø±™_ø¬ ø_™‹™Š ø_ø_ø_ø© øÂø_øÂ ø_™‹™ˆ™š™Š ™™_ øµø±™ƒø¿ø_ #™‰ø‡ø_ø_ ø_ø¿™‹øÂ ™ƒø±™€ø_ ™ƒø_ø±ø© ™ƒøµø±™_™Ê,1/22/16 15:11,36.1808809,36.7200484,ALEPPO : Sarmada,RU_1420,Alleged civilian casualties from Russian attacks
SEhSo4SNefQ,Russian Air Force in the skies of the northern countryside of Homs province 22/1/2016,øÈøå™ƒø_ ø‚™šø_ø± ø_™šø±™_ø_ SRG,øÈø_™‹™_™‰ ™‹™‹ø‡™_ø±ø_™Ê ø_™‹ø±™šø_™_ ™™_ ø_™ƒø_øç ø±™_™ ø_™ƒøµ ø_™‹øÇ™ƒø_™‹™_ 22-01-2016,1/22/16 13:21,34.91639,36.733818,HOMS,RU_1421,Alleged civilian casualties from Russian attacks
QjqZ8uCMcj4,Russian missiles aimed at # Bab_al-Hawa border on the border,Mujahed Alhamwi,øµ™šø±ø_™_ø¬ ø±™šø_™_ø© øÈø_øÈ™ˆø¿™ ™ƒ™Êø‡™‰ø© #øÂø_øÂ_ø_™‹™ˆ™š™Š ø_™‹ø_ø¿™š™_ø©,1/22/16 12:29,"36ŒÁ13'4.65""N","36ŒÁ42'22.92""E",,RU_1422,Alleged civilian casualties from Russian attacks
_aI3ev_PMF0,Russian warplanes bombing al-Latmana in Hama province 22/1/2016,™ƒø_™ƒ™šø¿ ø_™‹ø_™ƒ™š™_-Mahmoud Alhamwi,™‰øµ™ øÂø_™‹ø‡™_ø±ø_™Ê ø_™‹ø_ø±øÂ™_ ø_™‹ø±™šø_™_ ø_™‹™Š ™ƒø¿™_™Êø© ø_™‹™‹ø‡ø_™ƒ™Êø© øÂø±™_™ ø_™ƒø_ø© 22 1 2016,1/22/16 12:26,35.326749,36.621766,HAMA : latamneh,RU_1423,Alleged civilian casualties from Russian attacks
BzU61XOVEpo,Poor old man looks on at the destruction of residential houses after Russian airstrikes on the town,™ƒø_ø_ø_ø© øÇø_™ˆø¿ ø_™‹ø«ø_™‹ø_™ƒ™_ø©-shahed media association,øÇø_™ˆø¿ ø_™‹øÇ™_ø¬ ™ƒø_™€™_™Ê ø_ø‚ø_ø± ø_™‹ø¿™ƒø_ø± ø_™‹™šø_øÇ™_ øÂ™ƒ™Êø_ø_™‹ ø_™‹™ƒø¿™Ê™_™_™Ê øåø±ø_øç ø_™‹ø_™ƒ™‹ø© ø_™‹øå™š™_ø© ø_™‹ø±™šø_™_ø© ø_™‹™Š ø_™‹™ƒø¿™_™Êø© øå2,1/21/16 21:35,32.827996,36.158238,DARAA : Sheikh Miskin,RU_1424,Alleged civilian casualties from Russian attacks
Y5E2zOLpVy8,Poor old man looks on at the destruction to residential houses after Russian aistrike on city,™ƒø_ø_ø_ø© øÇø_™ˆø¿ ø_™‹ø«ø_™‹ø_™ƒ™_ø©-shahed media association,øÇø_™ˆø¿ ø_™‹øÇ™_ø¬ ™ƒø_™€™_™Ê ø_ø‚ø_ø± ø_™‹ø¿™ƒø_ø± ø_™‹™šø_øÇ™_ øÂ™ƒ™Êø_ø_™‹ ø_™‹™ƒø¿™Ê™_™_™Ê øåø±ø_øç ø_™‹ø_™ƒ™‹ø© ø_™‹øå™š™_ø© ø_™‹ø±™šø_™_ø© ø_™‹™Š ø_™‹™ƒø¿™_™Êø©,1/21/16 21:33,32.827996,36.158238,DARAA : Sheikh Miskin,RU_1425,Alleged civilian casualties from Russian attacks
